position,title,authors,last week position,peak position,weeks on chart
1,Ella Baila Sola,Eslabon Armado X Peso Pluma,2,1,8
2,Un x100to,Grupo Frontera X Bad Bunny,1,1,4
3,Cupid,Fifty Fifty,5,3,9
4,La Bebe,Yng Lvcas x Peso Pluma,3,3,11
5,Flowers,Miley Cyrus,4,1,17
6,Calm Down,Rema & Selena Gomez,7,3,45
7,Kill Bill,SZA,6,1,22
8,Die For You,The Weeknd & Ariana Grande,8,2,62
9,Last Night,Morgan Wallen,10,5,15
10,Idol,YOASOBI,9,9,4
11,Daylight,David Kushner,11,11,4
12,TQG,Karol G x Shakira,12,1,11
13,As It Was,Harry Styles,13,1,58
14,Eyes Closed,Ed Sheeran,46,14,7
15,Anti-Hero,Taylor Swift,16,1,29
16,Por Las Noches,Peso Pluma,14,14,11
17,Classy 101,Feid x Young Miko,21,17,6
18,Creepin',"Metro Boomin, The Weeknd & 21 Savage",17,3,23
19,PRC,Peso Pluma X Natanael Cano,15,15,15
20,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,18,3,14
21,I'm Good (Blue),David Guetta & Bebe Rexha,19,2,37
22,People,Libianca,25,22,17
23,Unforgiven,LE SSERAFIM Featuring Nile Rodgers,61,23,2
24,Until I Found You,Stephen Sanchez,24,11,52
25,Beso,Rosalia & Rauw Alejandro,22,10,7
26,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",20,20,18
27,El Azul,Junior H x Peso Pluma,23,23,9
28,Fast Car,Luke Combs,38,28,7
29,Yandel 150,Yandel & Feid,31,13,18
30,Golden Hour,JVKE,27,13,37
31,Unholy,Sam Smith & Kim Petras,29,1,33
32,Flower,Jisoo,28,2,6
33,Save Your Tears,The Weeknd & Ariana Grande,32,1,123
34,I Ain't Worried,OneRepublic,33,5,49
35,See You Again,"Tyler, The Creator Featuring Kali Uchis",35,35,4
36,Search & Rescue,Drake,26,2,5
37,Like Crazy,Jimin,36,2,7
38,Chemical,Post Malone,41,16,4
39,Another Love,Tom Odell,39,14,106
40,Favorite Song,Toosii,53,40,12
41,I Am,IVE,34,21,5
42,Escapism,RAYE Featuring 070 Shake,40,7,24
43,Sure Thing,Miguel,42,13,21
44,El Gordo Trae El Mando,Chino Pacas,55,44,13
45,Players,Coi Leray,43,17,18
46,Chanel,Becky G & Peso Pluma,47,46,5
47,Blinding Lights,The Weeknd,44,2,140
48,Snooze,SZA,50,27,22
49,Miracle,Calvin Harris & Ellie Goulding,49,49,9
50,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,45,2,18
51,Perfect,Ed Sheeran,56,30,140
52,Fragil,Yahritza y Su Esencia x Grupo Frontera,63,52,4
53,Something In The Orange,Zach Bryan,57,23,54
54,Super,SEVENTEEN,37,37,3
55,Cruel Summer,Taylor Swift,73,55,8
56,La Bachata,Manuel Turizo,58,6,44
57,Starboy,The Weeknd Featuring Daft Punk,52,34,97
58,Princess Diana,Ice Spice & Nicki Minaj,48,11,4
59,OMG,NewJeans,54,10,19
60,Que Vuelvas,Carin Leon X Grupo Frontera,65,34,20
61,Heat Waves,Glass Animals,60,1,123
62,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",74,62,5
63,Double Fantasy,The Weeknd Featuring Future,30,12,3
