position,title,authors,last week position,peak position,weeks on chart,chart_date
1,Ella Baila Sola,Eslabon Armado X Peso Pluma,1,1,9,2023-05-26
2,Cupid,Fifty Fifty,3,2,10,2023-05-26
3,La Bebe,Yng Lvcas x Peso Pluma,4,3,12,2023-05-26
4,Un x100to,Grupo Frontera X Bad Bunny,2,1,5,2023-05-26
5,Flowers,Miley Cyrus,5,1,18,2023-05-26
6,Calm Down,Rema & Selena Gomez,6,3,46,2023-05-26
7,All My Life,Lil Durk Featuring J. Cole,0,7,1,2023-05-26
8,Die For You,The Weeknd & Ariana Grande,8,2,63,2023-05-26
9,Idol,YOASOBI,10,9,5,2023-05-26
10,Last Night,Morgan Wallen,9,5,16,2023-05-26
11,Kill Bill,SZA,7,1,23,2023-05-26
12,Daylight,David Kushner,11,11,5,2023-05-26
13,Acrostico,Shakira,0,13,1,2023-05-26
14,As It Was,Harry Styles,13,1,59,2023-05-26
15,Tattoo,Loreen,0,15,1,2023-05-26
16,TQG,Karol G x Shakira,12,1,12,2023-05-26
17,Anti-Hero,Taylor Swift,15,1,30,2023-05-26
18,Classy 101,Feid x Young Miko,17,17,7,2023-05-26
19,Creepin',"Metro Boomin, The Weeknd & 21 Savage",18,3,24,2023-05-26
20,People,Libianca,22,20,18,2023-05-26
21,I'm Good (Blue),David Guetta & Bebe Rexha,21,2,38,2023-05-26
22,Por Las Noches,Peso Pluma,16,14,12,2023-05-26
23,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,20,3,15,2023-05-26
24,Until I Found You,Stephen Sanchez,24,11,53,2023-05-26
25,PRC,Peso Pluma X Natanael Cano,19,15,16,2023-05-26
26,El Azul,Junior H x Peso Pluma,27,23,10,2023-05-26
27,Cha Cha Cha,Kaarija,0,27,1,2023-05-26
28,Golden Hour,JVKE,30,13,38,2023-05-26
29,I Ain't Worried,OneRepublic,34,5,50,2023-05-26
30,Fast Car,Luke Combs,28,28,8,2023-05-26
31,Beso,Rosalia & Rauw Alejandro,25,10,8,2023-05-26
32,Eyes Closed,Ed Sheeran,14,14,8,2023-05-26
33,Yandel 150,Yandel & Feid,29,13,19,2023-05-26
34,Save Your Tears,The Weeknd & Ariana Grande,33,1,124,2023-05-26
35,Unholy,Sam Smith & Kim Petras,31,1,34,2023-05-26
36,Unforgiven,LE SSERAFIM Featuring Nile Rodgers,23,23,3,2023-05-26
37,See You Again,"Tyler, The Creator Featuring Kali Uchis",35,35,5,2023-05-26
38,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",26,20,19,2023-05-26
39,Like Crazy,Jimin,37,2,8,2023-05-26
40,Another Love,Tom Odell,39,14,107,2023-05-26
41,Fragil,Yahritza y Su Esencia x Grupo Frontera,52,41,5,2023-05-26
42,Search & Rescue,Drake,36,2,6,2023-05-26
43,Flower,Jisoo,32,2,7,2023-05-26
44,Sure Thing,Miguel,43,13,22,2023-05-26
45,Chemical,Post Malone,38,16,5,2023-05-26
46,Miracle,Calvin Harris & Ellie Goulding,49,46,10,2023-05-26
47,Favorite Song,Toosii,40,40,13,2023-05-26
48,Blinding Lights,The Weeknd,47,2,141,2023-05-26
49,Cruel Summer,Taylor Swift,55,49,9,2023-05-26
50,I Am,IVE,41,21,6,2023-05-26
51,Escapism,RAYE Featuring 070 Shake,42,7,25,2023-05-26
52,Perfect,Ed Sheeran,51,30,141,2023-05-26
53,Something In The Orange,Zach Bryan,53,23,55,2023-05-26
54,Players,Coi Leray,45,17,19,2023-05-26
55,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,50,2,19,2023-05-26
56,Creep,Radiohead,80,56,2,2023-05-26
57,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",62,57,6,2023-05-26
58,Queen Of Kings,Alessandra,0,58,1,2023-05-26
59,Snooze,SZA,48,27,23,2023-05-26
60,Chanel,Becky G & Peso Pluma,46,46,6,2023-05-26
61,Area Codes,Kali,149,61,2,2023-05-26
62,The Planet,BTS,0,62,1,2023-05-26
63,Heat Waves,Glass Animals,61,1,124,2023-05-26
64,La Bachata,Manuel Turizo,56,6,45,2023-05-26
65,Starboy,The Weeknd Featuring Daft Punk,57,34,98,2023-05-26
66,Levitating,Dua Lipa,66,2,137,2023-05-26
67,Under The Influence,Chris Brown,65,3,43,2023-05-26
68,Shivers,Ed Sheeran,68,3,88,2023-05-26
69,OMG,NewJeans,59,10,20,2023-05-26
70,Spicy,aespa,160,70,2,2023-05-26
71,Cuff It,Beyonce,87,12,42,2023-05-26
72,Stay,The Kid LAROI & Justin Bieber,71,1,97,2023-05-26
73,Mockingbird,Eminem,75,42,31,2023-05-26
74,Moonlight,Kali Uchis,78,74,9,2023-05-26
75,Thinkin' Bout Me,Morgan Wallen,67,21,11,2023-05-26
76,Cold Heart (PNAU Remix),Elton John & Dua Lipa,76,3,92,2023-05-26
77,El Gordo Trae El Mando,Chino Pacas,44,44,14,2023-05-26
78,Mathematical Disrespect,Lil Mabu,0,78,1,2023-05-26
79,Que Vuelvas,Carin Leon X Grupo Frontera,60,34,21,2023-05-26
80,Blank Space,Taylor Swift,82,80,40,2023-05-26
81,Bebe Dame,Fuerza Regida X Grupo Frontera,64,17,20,2023-05-26
82,You Proof,Morgan Wallen,74,22,53,2023-05-26
83,Someone You Loved,Lewis Capaldi,79,24,141,2023-05-26
84,Hey Mor,Ozuna Featuring Feid,77,27,31,2023-05-26
85,Me Porto Bonito,Bad Bunny & Chencho Corleone,70,2,54,2023-05-26
86,Rock And A Hard Place,Bailey Zimmerman,102,59,47,2023-05-26
87,Angels Like You,Miley Cyrus,96,87,4,2023-05-26
88,Super,SEVENTEEN,54,37,4,2023-05-26
89,Viva La Vida,Coldplay,101,89,39,2023-05-26
90,Princess Diana,Ice Spice & Nicki Minaj,58,11,5,2023-05-26
91,Believer,Imagine Dragons,91,52,141,2023-05-26
92,Yellow,Coldplay,122,68,110,2023-05-26
93,Sweater Weather,The Neighbourhood,90,25,138,2023-05-26
94,Money Trees,Kendrick Lamar Featuring Jay Rock,105,94,7,2023-05-26
95,Life Goes On,Ed Sheeran Featuring Luke Combs,0,95,1,2023-05-26
96,Ojitos Lindos,Bad Bunny & Bomba Estereo,89,4,54,2023-05-26
97,Ch y La Pizza,Fuerza Regida X Natanael Cano,69,39,15,2023-05-26
98,Shape Of You,Ed Sheeran,83,55,141,2023-05-26
99,Coco Chanel,Eladio Carrion & Bad Bunny,84,22,9,2023-05-26
100,Titi Me Pregunto,Bad Bunny,81,4,54,2023-05-26
101,Here With Me,d4vd,86,34,27,2023-05-26
102,Karma,Taylor Swift,97,10,11,2023-05-26
103,Lavender Haze,Taylor Swift,92,2,30,2023-05-26
104,I Wanna Be Yours,Arctic Monkeys,99,71,37,2023-05-26
105,Bad Habits,Ed Sheeran,103,1,99,2023-05-26
106,Bones,Imagine Dragons,93,32,62,2023-05-26
107,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,109,41,141,2023-05-26
108,"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,85,1,45,2023-05-26
109,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",88,8,24,2023-05-26
110,Take On Me,a-ha,95,95,81,2023-05-26
111,Unstoppable,Sia,100,79,66,2023-05-26
112,Cardigan,Taylor Swift,130,77,15,2023-05-26
113,Summertime Sadness,Lana Del Rey vs. Cedric Gervais,107,89,41,2023-05-26
114,Double Fantasy,The Weeknd Featuring Future,63,12,4,2023-05-26
115,Style,Taylor Swift,119,115,9,2023-05-26
116,Wish You The Best,Lewis Capaldi,140,87,5,2023-05-26
117,Un Finde   Crossover #2,Ke personajes X Big One X FMK,98,84,6,2023-05-26
118,Fin de Semana,Junior H X Oscar Maydon,148,58,18,2023-05-26
119,Dog Days Are Over,Florence + The Machine,187,119,2,2023-05-26
120,Trance,"Metro Boomin, Travis Scott & Young Thug",104,42,14,2023-05-26
121,Snap,Rosa Linn,123,18,45,2023-05-26
122,El Merengue,Marshmello & Manuel Turizo,113,103,10,2023-05-26
123,No Role Modelz,J. Cole,133,97,97,2023-05-26
124,Las Morras,Peso Pluma & Blessd,111,97,4,2023-05-26
125,Set Fire To The Rain,Adele,124,64,21,2023-05-26
126,Shake It Off,Taylor Swift,115,115,9,2023-05-26
127,Enchanted,Taylor Swift,112,55,7,2023-05-26
128,Just Wanna Rock,Lil Uzi Vert,108,26,31,2023-05-26
129,Rich Flex,Drake & 21 Savage,110,1,28,2023-05-26
130,Bad Habit,Steve Lacy,117,8,45,2023-05-26
131,M.A (Mejores Amigos),BM,126,81,6,2023-05-26
132,Mientras Me Curo del Cora,Karol G,106,40,12,2023-05-26
133,Lovely,Billie Eilish & Khalid,135,70,141,2023-05-26
134,Easy On Me,Adele,127,1,84,2023-05-26
135,Slut Me Out,NLE Choppa,94,48,7,2023-05-26
136,Nina Bonita,Feid & Sean Paul,146,136,4,2023-05-26
137,10:35,Tiesto Featuring Tate McRae,114,38,25,2023-05-26
138,Shut Up My Moms Calling,Hotel Ugly,132,64,24,2023-05-26
139,Made You Look,Meghan Trainor,116,6,30,2023-05-26
140,Nosso Quadro,Ana Castela,145,95,12,2023-05-26
141,Everybody Wants To Rule The World,Tears For Fears,158,108,42,2023-05-26
142,Feliz Cumpleanos Ferxxo,Feid,120,61,37,2023-05-26
143,Take Me To Church,Hozier,138,115,112,2023-05-26
144,Chorrito Pa Las Animas,Feid,131,82,19,2023-05-26
